,method,fct_mean,fct_std,location,forecast_date,target_end_date,target,FIPS,cases,q_0.025,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.975,wis
1287098,PatchSim_adpt,1974.0,394.03061224489807,36,2021-04-26,2021-05-15,3-step_ahead,36055,1283.0,1201.7141911937324,1469.0294520050534,1708.2303907773294,1974.0,2239.7696092226706,2478.9705479949466,2746.285808806268,351.2151564094345
1287099,PatchSim_adpt,2259.0,644.5535714285718,36,2021-04-19,2021-05-15,4-step_ahead,36055,1283.0,995.698213893334,1432.9713614583504,1824.2552226191503,2259.0,2693.74477738085,3085.0286385416493,3522.3017861066664,464.27708279473967
1287100,ENKF,1679.5021539718728,7.805899567716585,36,2021-04-19,2021-05-15,4-step_ahead,36055,1283.0,1664.2028719522116,1669.4984911603815,1674.237154722388,1679.5021539718728,1684.7671532213574,1689.5058167833636,1694.8014359915342,389.31079745969737
1287101,ENKF,1657.9824529268951,5.4708661824212745,36,2021-04-26,2021-05-15,3-step_ahead,36055,1283.0,1647.2597522451115,1650.9712558059286,1654.2924097621576,1657.9824529268951,1661.6724960916324,1664.993650047862,1668.705153608679,369.94229723351333
1287102,ENKF,1608.0524588714616,3.4277297757440226,36,2021-05-03,2021-05-15,2-step_ahead,36055,1283.0,1601.3342319622675,1603.659646411093,1605.7404902712806,1608.0524588714616,1610.3644274716428,1612.44527133183,1614.7706857806554,321.894587490856
1287103,ENKF,1525.0722304112576,1.9787456342166143,36,2021-05-10,2021-05-15,1-step_ahead,36055,1283.0,1521.1939602336276,1522.5363658459128,1523.7375867627331,1525.0722304112576,1526.406874059782,1527.6080949766024,1528.950500588888,240.2492675126043
1287104,lstm,2263.1102587890623,436.9653124236918,36,2021-04-19,2021-05-15,4-step_ahead,36055,1283.0,1406.673983945334,1703.116678563795,1968.3816343680533,2263.1102587890623,2557.838883210071,2823.10383901433,3119.546533632791,577.5463623627022
1287105,lstm,1287.7093933105468,183.17547951178443,36,2021-04-26,2021-05-15,3-step_ahead,36055,1283.0,928.6920506165947,1052.9605707728367,1164.159409892596,1287.7093933105468,1411.2593767284977,1522.4582158482572,1646.726736004499,36.865805716139576
1287106,lstm,1304.9713330078125,149.05092151402604,36,2021-05-03,2021-05-15,2-step_ahead,36055,1283.0,1012.8368949778153,1113.9548911956472,1204.4380141893214,1304.9713330078125,1405.5046518263034,1495.987774819978,1597.10577103781,32.58923890773849
1287107,lstm,1361.392431640625,114.76926071223468,36,2021-05-10,2021-05-15,1-step_ahead,36055,1283.0,1136.4488141123572,1214.3097058984642,1283.981741652641,1361.392431640625,1438.8031216286092,1508.475157382786,1586.3360491688932,34.15629385479747
